train_loss,val_loss,train accuracy,val accuracy
2.124206495067136,1.5397419494261817,"tensor(0.2621, device='cuda:0')",0.2943305186972256
1.8488336787880384,1.511847322190328,"tensor(0.2764, device='cuda:0')",0.30639324487334135
1.7733895460369478,1.378929706612414,"tensor(0.3064, device='cuda:0')",0.3610776035383997
1.6511559539307215,1.358839500741317,"tensor(0.3527, device='cuda:0')",0.40048250904704463
1.5426260607003375,1.2591460768456981,"tensor(0.4026, device='cuda:0')",0.4877362283876156
1.3829660295835517,1.0130796454954472,"tensor(0.4704, device='cuda:0')",0.5950944913550462
1.258135026252161,0.8341356579644579,"tensor(0.5173, device='cuda:0')",0.6586248492159228
1.1343694010062355,0.6459650371182143,"tensor(0.5668, device='cuda:0')",0.7354242058705267
1.0426693670376814,0.598271322855423,"tensor(0.6081, device='cuda:0')",0.7595496582227583
0.9791060257559023,0.5837360503327217,"tensor(0.6344, device='cuda:0')",0.7378367511057499
0.885215771173617,0.5421024366655925,"tensor(0.6703, device='cuda:0')",0.7864897466827503
0.8184863003392655,0.44575468935277923,"tensor(0.7034, device='cuda:0')",0.8126256533976679
0.7709575087794329,0.5138648508329745,"tensor(0.7202, device='cuda:0')",0.7973462002412546
0.6876546007324678,0.41694452865754256,"tensor(0.7530, device='cuda:0')",0.8258946521913952
0.6568240417773461,0.4441108104364668,"tensor(0.7590, device='cuda:0')",0.8230800160836349
0.583776881508069,0.41069253139862705,"tensor(0.7910, device='cuda:0')",0.8246883795737837
0.5314871097352826,0.5940451387671021,"tensor(0.8123, device='cuda:0')",0.7852834740651388
0.461739116592077,0.49869442539314096,"tensor(0.8373, device='cuda:0')",0.8021712907117008
0.4295439447000227,0.3672611964346266,"tensor(0.8469, device='cuda:0')",0.8568556493767592
0.40912889140166836,0.40109406357307237,"tensor(0.8599, device='cuda:0')",0.8367511057498995
0.3607623460160449,0.4426417305439683,"tensor(0.8739, device='cuda:0')",0.8383594692400482
0.32335966868588245,0.43607921808239536,"tensor(0.8905, device='cuda:0')",0.8528347406513872
0.2975428999530753,0.48894875128507753,"tensor(0.8999, device='cuda:0')",0.8299155609167672
0.2816576663442421,0.5510758188317338,"tensor(0.9071, device='cuda:0')",0.8258946521913952
0.2520421254062354,0.4177353268308643,"tensor(0.9149, device='cuda:0')",0.8588661037394452
0.23277730994983278,0.5996193010378881,"tensor(0.9233, device='cuda:0')",0.8158423803779654
0.2276802036779342,0.5374921085290925,"tensor(0.9237, device='cuda:0')",0.843988741455569
0.20985700394495027,0.46881320286174566,"tensor(0.9317, device='cuda:0')",0.8588661037394452
0.1938894994425862,0.5145228307872349,"tensor(0.9353, device='cuda:0')",0.8640932850824287
0.17597286095103637,0.5636037330277074,"tensor(0.9433, device='cuda:0')",0.8520305589063129
