train_loss,val_loss,train accuracy,val accuracy
0.6215640843031313,0.31965795086331067,"tensor(0.7545, device='cuda:0')",0.8572577402492964
0.279982869759422,0.27632513496126077,"tensor(0.9099, device='cuda:0')",0.8781664656212304
0.1736969944330783,0.3206253994431693,"tensor(0.9480, device='cuda:0')",0.8729392842782469
0.12547891961072608,0.34358880325819346,"tensor(0.9626, device='cuda:0')",0.8729392842782469
0.09581387575154199,0.35997105651052663,"tensor(0.9704, device='cuda:0')",0.8725371934057097
0.08127345228085549,0.43449496241816504,"tensor(0.9752, device='cuda:0')",0.8769601930036188
0.06593492266119567,0.33776945862150803,"tensor(0.9825, device='cuda:0')",0.8809811017289908
0.05046522364611743,0.2984228355159908,"tensor(0.9850, device='cuda:0')",0.8870124648170487
0.040448654109598636,0.821053637808366,"tensor(0.9883, device='cuda:0')",0.8082026537997588
0.044045018258277654,0.40214382541906935,"tensor(0.9863, device='cuda:0')",0.8673100120627262
0.035792358597105244,0.5239694725930674,"tensor(0.9906, device='cuda:0')",0.8657016485725774
0.03832762780236774,0.4796335558092473,"tensor(0.9874, device='cuda:0')",0.8797748291113792
0.030886389497131763,0.42872457758789456,"tensor(0.9913, device='cuda:0')",0.8319260152794532
0.024757017042666557,0.4625057137523511,"tensor(0.9929, device='cuda:0')",0.8685162846803377
0.020387834622321126,0.5848318516709402,"tensor(0.9948, device='cuda:0')",0.8737434660233213
0.026399285705403334,0.5591256470359066,"tensor(0.9926, device='cuda:0')",0.8721351025331725
0.021776773005281032,0.5296671852085879,"tensor(0.9936, device='cuda:0')",0.8910333735424206
0.02381602335792972,0.4371028701517364,"tensor(0.9925, device='cuda:0')",0.8757539203860072
0.016411638896437604,0.5185075176265019,"tensor(0.9960, device='cuda:0')",0.879372738238842
0.018174398792546204,0.7241583989206799,"tensor(0.9946, device='cuda:0')",0.8110172899075191
0.011989174391819991,0.6198989672708981,"tensor(0.9969, device='cuda:0')",0.8785685564937676
0.021009048669706747,0.7011158956904892,"tensor(0.9939, device='cuda:0')",0.8821873743466023
0.010717114240345193,0.6676431981677943,"tensor(0.9975, device='cuda:0')",0.873341375150784
0.01273294905921785,0.615477205077807,"tensor(0.9967, device='cuda:0')",0.877362283876156
0.018860309668057185,0.47609586300809015,"tensor(0.9952, device='cuda:0')",0.879372738238842
0.0028115939921757437,0.7953745426538004,"tensor(0.9997, device='cuda:0')",0.8777643747486932
0.01837310697911819,0.615617217691544,"tensor(0.9948, device='cuda:0')",0.8777643747486932
0.01400104659798958,0.7193659496091771,"tensor(0.9964, device='cuda:0')",0.8757539203860072
0.012987191398570564,0.5076800439015426,"tensor(0.9959, device='cuda:0')",0.8781664656212304
0.012891218850070425,0.6793797499667116,"tensor(0.9963, device='cuda:0')",0.8785685564937676
