train_loss,val_loss,train accuracy,val accuracy
1.3881417432678527,1.380570143053797,"tensor(0.2857, device='cuda:0')",0.2794531564133494
1.311011111459735,1.333403763087533,"tensor(0.3676, device='cuda:0')",0.36791314837153194
1.08067355494345,1.7549069518538714,"tensor(0.5164, device='cuda:0')",0.44109368717330116
0.7577505181628178,0.827247175476789,"tensor(0.6865, device='cuda:0')",0.6135906714917572
0.5042624952812397,0.7650954897128267,"tensor(0.7977, device='cuda:0')",0.7040611178126257
0.38726742472359305,0.6093595718115248,"tensor(0.8425, device='cuda:0')",0.7583433856051468
0.30515138390985186,0.6768391616461791,"tensor(0.8781, device='cuda:0')",0.7635705669481303
0.24675952978907334,0.6843569053108173,"tensor(0.9039, device='cuda:0')",0.769199839163651
0.20645797296705082,0.9397668331353332,"tensor(0.9200, device='cuda:0')",0.7040611178126257
0.18453158238593836,0.6103930293481645,"tensor(0.9259, device='cuda:0')",0.8073984720546844
0.15917611061927894,0.6755676561482808,"tensor(0.9400, device='cuda:0')",0.8194611982308002
0.14882846754323495,0.6156116527948318,"tensor(0.9423, device='cuda:0')",0.8371531966224367
0.12786762656534692,0.5423863111109711,"tensor(0.9489, device='cuda:0')",0.8347406513872135
0.11964381696237125,0.6589871913269645,"tensor(0.9533, device='cuda:0')",0.8500201045436269
0.11128652111957432,0.6190332514266887,"tensor(0.9583, device='cuda:0')",0.7973462002412546
0.10499991505830789,0.6046575412102848,"tensor(0.9596, device='cuda:0')",0.8033775633293124
0.09122997795178933,0.9296791071842379,"tensor(0.9643, device='cuda:0')",0.779654201849618
0.09004431884888447,0.9297487538775392,"tensor(0.9648, device='cuda:0')",0.804583835946924
0.08169483958626689,1.0336983830876427,"tensor(0.9675, device='cuda:0')",0.7864897466827503
0.07600200804129968,0.8333889402697081,"tensor(0.9708, device='cuda:0')",0.7897064736630478
0.07543937983598961,0.8705597531245662,"tensor(0.9730, device='cuda:0')",0.7965420184961801
0.06584937395522815,1.0946293010614982,"tensor(0.9750, device='cuda:0')",0.7828709288299156
0.062160253383005425,1.1862949928967703,"tensor(0.9776, device='cuda:0')",0.7683956574185766
0.06208340143628269,1.0849470870478561,"tensor(0.9773, device='cuda:0')",0.7872939284278246
0.05340992143098508,1.1923281211668781,"tensor(0.9796, device='cuda:0')",0.7961399276236429
0.05820824176416135,1.0525833276420937,"tensor(0.9784, device='cuda:0')",0.8009650180940893
0.04950418894541284,1.212832933347385,"tensor(0.9821, device='cuda:0')",0.78367511057499
0.04886566186165455,0.9725556202146954,"tensor(0.9824, device='cuda:0')",0.8098110172899076
0.0442685040707759,1.096622815920872,"tensor(0.9852, device='cuda:0')",0.8082026537997588
0.044917245588411016,1.1608178095172224,"tensor(0.9834, device='cuda:0')",0.7893043827905106
