train_loss,val_loss,train accuracy,val accuracy
0.9806025964590971,0.45431444848536223,"tensor(0.5652, device='cuda:0')",0.7993566546039405
0.4590631731425446,0.27443326658786876,"tensor(0.8285, device='cuda:0')",0.8685162846803377
0.2945278002557352,0.30041647116657716,"tensor(0.8963, device='cuda:0')",0.8765581021310817
0.19977439637728497,0.3104650553662245,"tensor(0.9310, device='cuda:0')",0.8725371934057097
0.1443772874425536,0.33467753959848523,"tensor(0.9539, device='cuda:0')",0.8757539203860072
0.10941950794559302,0.3608486143423306,"tensor(0.9654, device='cuda:0')",0.8769601930036188
0.08187070067398017,0.4123816489452707,"tensor(0.9744, device='cuda:0')",0.8584640128669079
0.05868983985568323,0.34270621885262376,"tensor(0.9813, device='cuda:0')",0.8817852834740652
0.05577717735317041,0.2993527061699524,"tensor(0.9820, device='cuda:0')",0.8910333735424206
0.04068886834074263,0.3938471493479412,"tensor(0.9882, device='cuda:0')",0.8697225572979493
0.04084550552592648,0.5133211847920405,"tensor(0.9889, device='cuda:0')",0.8741455568958585
0.03262065920137594,0.5049741842628894,"tensor(0.9914, device='cuda:0')",0.8693204664254122
0.03239923131283294,0.541957410054471,"tensor(0.9907, device='cuda:0')",0.8817852834740652
0.024376391015521727,0.44161817546821175,"tensor(0.9935, device='cuda:0')",0.8805790108564535
0.023288261172837832,0.4318218840942169,"tensor(0.9947, device='cuda:0')",0.883393646964214
0.019000907635615773,0.4594760782502743,"tensor(0.9947, device='cuda:0')",0.8677121029352634
0.024016630488384278,0.7259929442446731,"tensor(0.9928, device='cuda:0')",0.8644953759549658
0.0175325628720567,0.5285998045123173,"tensor(0.9950, device='cuda:0')",0.8693204664254122
0.018268794975751707,0.6589824620138454,"tensor(0.9940, device='cuda:0')",0.864897466827503
0.01515653353431074,0.6887942600040906,"tensor(0.9959, device='cuda:0')",0.8769601930036188
0.01590165167957028,0.6774252773954474,"tensor(0.9950, device='cuda:0')",0.860876558102131
0.011734335722623274,0.5841219248967344,"tensor(0.9970, device='cuda:0')",0.8805790108564535
0.01516149875709665,0.5650627132383634,"tensor(0.9948, device='cuda:0')",0.8789706473663048
0.013235725285655824,0.7304278049045798,"tensor(0.9968, device='cuda:0')",0.8741455568958585
0.010141749999506424,0.6783351437527734,"tensor(0.9975, device='cuda:0')",0.8789706473663048
0.014299313206595443,0.4924400576906419,"tensor(0.9964, device='cuda:0')",0.8681141938078005
0.005541472372019918,0.7516326808675122,"tensor(0.9991, device='cuda:0')",0.8701246481704865
0.010967044676209913,0.7150234783601415,"tensor(0.9974, device='cuda:0')",0.8789706473663048
0.014568752808059636,0.7164816047226396,"tensor(0.9959, device='cuda:0')",0.8701246481704865
0.010378501600973138,0.6652017480177282,"tensor(0.9975, device='cuda:0')",0.8488138319260152
