train_loss,val_loss,train accuracy,val accuracy
0.9526686441174613,0.5126046180060297,"tensor(0.5702, device='cuda:0')",0.7868918375552875
0.4521525678655775,0.4562947671665155,"tensor(0.8275, device='cuda:0')",0.8375552874949739
0.27613670941196444,0.35176173254262144,"tensor(0.9062, device='cuda:0')",0.8576598311218335
0.19816059082094759,0.4980975020343965,"tensor(0.9330, device='cuda:0')",0.8266988339364696
0.13873769443504982,0.49997800638664297,"tensor(0.9557, device='cuda:0')",0.8335343787696019
0.10676884349661735,0.5198264799482212,"tensor(0.9677, device='cuda:0')",0.8588661037394452
0.08017433961489817,0.46052157324266996,"tensor(0.9760, device='cuda:0')",0.839967832730197
0.06491811615768946,0.6180737161376751,"tensor(0.9807, device='cuda:0')",0.837957378367511
0.05349244800941523,0.5277297649293757,"tensor(0.9845, device='cuda:0')",0.8556493767591475
0.0435880202599825,0.6263333630550628,"tensor(0.9871, device='cuda:0')",0.8307197426618416
0.04226581411915518,0.5514583349777739,"tensor(0.9867, device='cuda:0')",0.8636911942098915
0.03357858719673361,0.7078298490278878,"tensor(0.9904, device='cuda:0')",0.8303176517893044
0.030508666646375256,0.7246297096854639,"tensor(0.9917, device='cuda:0')",0.864897466827503
0.029540824015897055,0.4761055269051877,"tensor(0.9909, device='cuda:0')",0.8584640128669079
0.024680529033918687,0.6015661421945374,"tensor(0.9938, device='cuda:0')",0.8500201045436269
0.023458759548198867,0.5078131641272965,"tensor(0.9928, device='cuda:0')",0.8693204664254122
0.014572969162548001,0.7130110811966678,"tensor(0.9955, device='cuda:0')",0.8749497386409328
0.019446716826372407,0.6951209368438391,"tensor(0.9948, device='cuda:0')",0.8596702854845195
0.018949220425052895,0.7820722106712377,"tensor(0.9941, device='cuda:0')",0.8528347406513872
0.014070020790036953,0.7822503230876486,"tensor(0.9968, device='cuda:0')",0.8427824688379574
0.021403886084603568,0.7004064507303263,"tensor(0.9936, device='cuda:0')",0.8186570164857258
0.010307290728859123,0.6565360303991045,"tensor(0.9977, device='cuda:0')",0.8765581021310817
0.016575098698672918,0.6752544837282739,"tensor(0.9957, device='cuda:0')",0.8600723763570567
0.010023398386412257,0.7531853735897515,"tensor(0.9976, device='cuda:0')",0.8600723763570567
0.014597472101477757,0.698632935630282,"tensor(0.9959, device='cuda:0')",0.8624849215922799
0.010507851880946335,0.7797970107904352,"tensor(0.9962, device='cuda:0')",0.8632891033373542
0.009628406240843343,0.7510128515136133,"tensor(0.9979, device='cuda:0')",0.8616807398472055
0.01395926383383405,0.6942438152981921,"tensor(0.9963, device='cuda:0')",0.8468033775633294
0.0028143306591537367,0.9971035659396166,"tensor(0.9996, device='cuda:0')",0.8673100120627262
0.013138335884163221,0.717551726986227,"tensor(0.9966, device='cuda:0')",0.8757539203860072
